segment_id;user_id;file_name;mode
0;10;20080331160008.plt;car
1;10;20080331160008.plt;car
2;10;20080402060926.plt;walk
3;10;20080402060926.plt;car
4;10;20080402060926.plt;bus
5;10;20080403010747.plt;walk
6;10;20080403010747.plt;walk
7;10;20080403010747.plt;car
8;10;20080403160000.plt;walk
9;10;20080403160000.plt;car
10;10;20080403160000.plt;car
11;10;20080405160011.plt;bus
12;10;20080518072454.plt;bus
13;10;20080519055003.plt;bus
14;10;20080613211847.plt;walk
15;10;20080613211847.plt;walk
16;10;20080615221713.plt;bus
17;10;20080615221713.plt;walk
18;10;20080615221713.plt;walk
19;10;20080615221713.plt;walk
20;10;20080615221713.plt;walk
21;10;20080615221713.plt;walk
22;10;20080615221713.plt;walk
23;10;20080617094444.plt;bus
24;10;20080617094444.plt;walk
25;10;20080617094444.plt;walk
26;10;20080617094444.plt;car
27;10;20080618003409.plt;walk
28;10;20080618003409.plt;car
29;10;20080618003409.plt;walk
30;10;20080618003409.plt;bus
31;10;20080618003409.plt;bus
32;10;20080618121033.plt;walk
33;10;20080618121033.plt;bus
34;10;20080618121033.plt;bus
35;10;20080618121033.plt;walk
36;10;20080618121033.plt;walk
37;10;20080618121033.plt;bus
38;10;20080618121033.plt;walk
39;10;20080619100408.plt;walk
40;10;20080619160000.plt;walk
41;10;20080619160000.plt;walk
42;10;20080619160000.plt;car
43;10;20080628071359.plt;car
44;10;20080628071359.plt;walk
45;10;20080628071359.plt;car
46;10;20080628160827.plt;walk
47;10;20080628160827.plt;car
48;10;20080801023537.plt;walk
49;10;20080801023537.plt;walk
50;10;20080801023537.plt;bus
51;10;20080801023537.plt;walk
52;10;20080801023537.plt;walk
53;10;20080801023537.plt;walk
54;10;20080915231738.plt;bus
55;10;20080915231738.plt;walk
56;10;20080915231738.plt;bus
57;10;20080915231738.plt;walk
58;10;20080915231738.plt;walk
59;10;20080915231738.plt;walk
60;10;20080916114237.plt;walk
61;10;20080916114237.plt;walk
62;10;20080916114237.plt;car
63;10;20080916114237.plt;walk
64;10;20080916114237.plt;walk
65;10;20080916114237.plt;car
66;10;20080916221234.plt;car
67;10;20080916221234.plt;walk
68;10;20080916221234.plt;car
69;10;20080917101511.plt;bus
70;10;20080917101511.plt;walk
71;10;20080917101511.plt;car
72;10;20080917225654.plt;bus
73;10;20080917225654.plt;walk
74;10;20080917225654.plt;car
75;10;20080917225654.plt;walk
76;10;20080917225654.plt;walk
77;10;20080918104339.plt;walk
78;10;20080918104339.plt;walk
79;10;20080918104339.plt;bus
80;10;20080918104339.plt;bus
81;10;20080918104339.plt;walk
82;10;20080919000927.plt;bus
83;10;20080919000927.plt;car
84;10;20080919104235.plt;walk
85;10;20080919104235.plt;walk
86;10;20080919104235.plt;walk
87;10;20080919104235.plt;bus
88;10;20080919104235.plt;bus
89;10;20080919104235.plt;walk
90;10;20080919104235.plt;walk
91;10;20080921224934.plt;car
92;10;20080922111517.plt;car
93;10;20080922111517.plt;walk
94;10;20080922111517.plt;walk
95;10;20080922234926.plt;car
96;10;20080922234926.plt;walk
97;10;20080923121817.plt;car
98;10;20080923121817.plt;walk
99;10;20080923121817.plt;bus
100;10;20080923231456.plt;car
101;10;20080923231456.plt;car
102;10;20080923231456.plt;car
103;10;20080923231456.plt;walk
104;10;20080924113459.plt;car
105;10;20080924113459.plt;walk
106;10;20080924113459.plt;walk
107;10;20080924113459.plt;car
108;10;20080924113459.plt;car
109;10;20080924231334.plt;car
110;10;20080924231334.plt;car
111;10;20080924231334.plt;walk
112;10;20080925104204.plt;car
113;10;20080925104204.plt;car
114;10;20080925233430.plt;car
115;10;20080925233430.plt;walk
116;10;20080926105402.plt;walk
117;10;20080926105402.plt;car
118;10;20080926105402.plt;walk
119;10;20080926105402.plt;car
120;10;20080926105402.plt;walk
121;10;20080926234138.plt;car
122;10;20080926234138.plt;walk
123;10;20080927114213.plt;car
124;10;20080927114213.plt;walk
125;10;20080927114213.plt;bus
126;10;20080927232235.plt;car
127;10;20080927232235.plt;car
128;10;20080927232235.plt;walk
129;10;20080928120641.plt;walk
130;10;20080928120641.plt;walk
131;10;20080928160000.plt;walk
132;10;20080928160000.plt;walk
133;10;20080928160000.plt;walk
134;10;20080929160000.plt;walk
135;10;20080929160000.plt;bus
136;10;20080929160000.plt;walk
137;10;20080929160000.plt;walk
138;10;20080929160000.plt;walk
139;10;20080929160000.plt;car
140;10;20080929160000.plt;walk
141;10;20080929160000.plt;walk
142;10;20080929160000.plt;walk
143;10;20080929160000.plt;walk
144;10;20080929160000.plt;walk
145;10;20080929160000.plt;walk
146;10;20080929160000.plt;walk
147;10;20080929160000.plt;walk
148;10;20080929160000.plt;walk
149;10;20080929160000.plt;walk
150;10;20080930203247.plt;walk
151;10;20080930203247.plt;car
152;10;20080930203247.plt;walk
153;10;20080930203247.plt;car
154;10;20080930203247.plt;car
155;10;20080930203247.plt;walk
156;10;20080930203247.plt;walk
157;10;20080930203247.plt;walk
158;10;20080930203247.plt;car
159;10;20080930203247.plt;walk
160;10;20081001230824.plt;car
161;10;20081001230824.plt;walk
162;10;20081001230824.plt;walk
163;10;20081002160000.plt;walk
164;10;20081002160000.plt;walk
165;10;20081002160000.plt;bus
166;10;20081002160000.plt;walk
167;10;20081002160000.plt;bus
168;10;20081002160000.plt;walk
169;10;20081002160000.plt;walk
170;10;20081005225112.plt;car
171;10;20081005225112.plt;car
172;10;20081005225112.plt;walk
173;10;20081005225112.plt;walk
174;10;20081006110114.plt;car
175;10;20081006110114.plt;walk
176;10;20081006110114.plt;car
177;10;20081006234930.plt;car
178;10;20081006234930.plt;walk
179;10;20081007102112.plt;walk
180;10;20081007102112.plt;car
181;10;20081007102112.plt;walk
182;10;20081007231655.plt;walk
183;10;20081007231655.plt;car
184;10;20081007231655.plt;walk
185;10;20081008105051.plt;walk
186;10;20081008105051.plt;car
187;10;20081008105051.plt;car
188;10;20081008231209.plt;car
189;10;20081008231209.plt;car
190;10;20081008231209.plt;walk
191;10;20081009110709.plt;walk
192;10;20081009110709.plt;walk
193;10;20081009110709.plt;car
194;10;20081009110709.plt;walk
195;10;20081009110709.plt;car
196;10;20081009224923.plt;car
197;10;20081009224923.plt;car
198;10;20081009224923.plt;walk
199;10;20081010103335.plt;car
200;10;20081010103335.plt;car
201;10;20081012224836.plt;car
202;10;20081012224836.plt;car
203;10;20081012224836.plt;walk
204;10;20081013104428.plt;car
205;10;20081013104428.plt;bus
206;10;20081013230418.plt;car
207;10;20081013230418.plt;car
208;10;20081013230418.plt;walk
209;10;20081013230418.plt;walk
210;10;20081014114737.plt;bus
211;10;20081014114737.plt;walk
212;10;20081015005143.plt;car
213;10;20081015111010.plt;car
214;10;20081015111010.plt;walk
215;10;20081015234917.plt;car
216;10;20081015234917.plt;walk
217;10;20081016110447.plt;car
218;10;20081016110447.plt;walk
219;10;20081016110447.plt;car
220;10;20081016224935.plt;car
221;10;20081016224935.plt;car
222;10;20081016224935.plt;walk
223;10;20081017112840.plt;walk
224;10;20081017112840.plt;car
225;10;20081017112840.plt;walk
226;10;20081017112840.plt;walk
227;10;20081017112840.plt;car
228;10;20081018120606.plt;car
229;10;20081018120606.plt;walk
230;10;20081018120606.plt;walk
231;10;20081018120606.plt;car
232;10;20081019222847.plt;car
233;10;20081019222847.plt;car
234;10;20081019222847.plt;walk
235;10;20081020114150.plt;bus
236;10;20081020114150.plt;walk
237;10;20081021004622.plt;car
238;10;20081031101923.plt;car
239;10;20081031101923.plt;car
240;10;20081101042408.plt;car
241;10;20081104101900.plt;car
242;10;20081104101900.plt;walk
243;10;20081104101900.plt;walk
244;10;20081106102334.plt;car
245;10;20081106102334.plt;walk
246;10;20081106102334.plt;car
247;10;20081106231922.plt;car
248;10;20081106231922.plt;walk
249;10;20081106231922.plt;walk
250;10;20081106231922.plt;bus
251;10;20081106231922.plt;walk
252;10;20081108094106.plt;walk
253;10;20081108094106.plt;bus
254;10;20081201003431.plt;car
255;10;20081206041700.plt;car
256;10;20081206041700.plt;car
257;10;20081206041700.plt;walk
258;10;20081206041700.plt;car
259;10;20081207101046.plt;walk
260;10;20081207101046.plt;car
261;10;20081207101046.plt;car
262;10;20081207101046.plt;bus
263;10;20081207101046.plt;walk
264;10;20081207101046.plt;car
265;20;20110827061301.plt;walk
266;20;20110827061301.plt;walk
267;20;20110827061301.plt;walk
268;20;20110827093443.plt;walk
269;20;20110827093443.plt;walk
270;20;20110827093443.plt;walk
271;20;20110827093443.plt;bus
272;20;20110827093443.plt;walk
273;20;20110827093443.plt;walk
274;20;20110828043331.plt;walk
275;20;20110828043907.plt;walk
276;20;20110828043907.plt;bus
277;20;20110828043907.plt;walk
278;20;20110828043907.plt;bus
279;20;20110828043907.plt;walk
280;20;20110828043907.plt;bus
281;20;20110828043907.plt;bus
282;20;20110828043907.plt;walk
283;20;20110828043907.plt;walk
284;20;20110828043907.plt;walk
285;20;20110828043907.plt;walk
286;20;20110828043907.plt;bus
287;20;20110828043907.plt;walk
288;20;20110828143300.plt;bus
289;20;20110828143340.plt;bus
290;20;20110828143340.plt;bus
291;20;20110829152037.plt;walk
292;20;20110830012338.plt;walk
293;20;20110830012338.plt;bus
294;20;20110830012338.plt;walk
295;20;20110830140923.plt;walk
296;20;20110830140923.plt;bus
297;20;20110830140923.plt;walk
298;20;20110831014501.plt;walk
299;20;20110831014501.plt;bus
300;20;20110831014501.plt;walk
301;20;20110831041504.plt;walk
302;20;20110831041504.plt;walk
303;20;20110901014831.plt;walk
304;20;20110901014831.plt;bus
305;20;20110901014831.plt;walk
306;20;20110901144954.plt;walk
307;20;20110902012801.plt;walk
308;20;20110902012801.plt;bus
309;20;20110902012801.plt;walk
310;20;20110903044202.plt;walk
311;20;20110903044202.plt;walk
312;20;20110903044202.plt;walk
313;20;20110903142001.plt;walk
314;20;20110903142001.plt;walk
315;20;20110904034809.plt;walk
316;20;20110904034809.plt;bus
317;20;20110904034809.plt;walk
318;20;20110904143255.plt;walk
319;20;20110905012402.plt;walk
320;20;20110905012402.plt;bus
321;20;20110905012402.plt;walk
322;20;20110905040559.plt;walk
323;20;20110905040559.plt;walk
324;20;20110905142237.plt;walk
325;20;20110905142237.plt;bus
326;20;20110905142237.plt;walk
327;20;20110906013254.plt;bus
328;20;20110906013254.plt;walk
329;20;20110906150001.plt;walk
330;20;20110907150006.plt;walk
331;20;20110909021325.plt;walk
332;20;20110909021505.plt;walk
333;20;20110910113041.plt;walk
334;20;20110910113041.plt;walk
335;20;20110910113041.plt;bus
336;20;20110910113041.plt;walk
337;20;20110911000506.plt;walk
338;20;20110911000506.plt;walk
339;20;20110911000506.plt;walk
340;20;20110911000506.plt;walk
341;20;20110911000506.plt;walk
342;20;20110911000506.plt;walk
343;20;20110911000506.plt;walk
344;20;20110911000506.plt;walk
345;20;20110911000506.plt;walk
346;20;20110911000506.plt;walk
347;20;20110911000506.plt;walk
348;20;20110911000506.plt;walk
349;20;20110911000506.plt;walk
350;20;20110911000506.plt;walk
351;20;20110911000506.plt;walk
352;20;20110911000506.plt;walk
353;20;20110911000506.plt;walk
354;20;20110911000506.plt;car
355;20;20110911000506.plt;car
356;20;20110911000506.plt;car
357;20;20110911000506.plt;walk
358;20;20110911000506.plt;walk
359;20;20110912053207.plt;walk
360;20;20110912053207.plt;walk
361;20;20110912053207.plt;walk
362;20;20110912053207.plt;bus
363;20;20110912053207.plt;walk
364;20;20110912053207.plt;bus
365;20;20110912053207.plt;bus
366;20;20110912053207.plt;walk
367;20;20110912053207.plt;walk
